e, e_dot, e_int, stamp, 
-0.01633510214382457, 0.0, -0.0032670204287649145, 17953000000, 
-0.01633510214382457, 0.0, -0.0032670204287649145, 17953000000, 
-0.01633510214382457, 0.0, -0.0032670204287649145, 17953000000, 
-0.01633510214382457, 0.0, -0.0032670204287649145, 17953000000, 
-0.01705145981428937, -0.00238785890154933, -0.003314777606795901, 75515000000, 
-0.017117564213413122, -0.0026082068986285046, -0.003366941744768471, 75549000000, 
-0.017119056482269343, -0.00022532222659991016, -0.0034192053673314554, 75583000000, 
-0.017117023155391133, 1.803526739965755e-06, -0.00342357625673824, 75617000000, 
-0.01711738454093644, 5.57313777634072e-06, -0.0034235642785731277, 75651000000, 
-0.01711769066512392, -2.2250324426218806e-06, -0.003423473224096766, 75685000000, 
-0.017107803492219513, 3.193682905642629e-05, -0.0034228585798853246, 75719000000, 
-0.017105420864670127, 4.0899334845974356e-05, -0.003422061001467571, 75753000000, 
-0.017045289985691166, 0.00020837835509449065, -0.003417234289505387, 75787000000, 
-0.016621949557286596, 0.00161157102461177, -0.003384844027176526, 75821000000, 
-0.016436827903467628, 0.0020282069407451253, -0.0033402711630963595, 75855000000, 
-0.016289810207302798, 0.0011071311666126585, -0.003289905844537135, 75889000000, 
-0.016193087532285544, 0.000812467903940281, -0.0032613150428703976, 75923000000, 
-0.01605370240353273, 0.0007870260125668905, -0.0032357733428747385, 75957000000, 
-0.01605370240353273, 0.00046461709584270927, -0.0032200328226234002, 75957000000, 
-0.01605370240353273, 0.0, -0.0032107404807065463, 75957000000, 
-0.015807683158244653, 0.0008200641509602605, -0.0031943391976873414, 75991000000, 
-0.015807683158244653, 0.0008200641509602605, -0.0031779379146681355, 75991000000, 
-0.01566066790166295, 0.0004900508552723471, -0.0031517356145434835, 76025000000, 
-0.01566066790166295, 0.0004900508552723471, -0.0031419345974380364, 76025000000, 
-0.015515515041238357, 0.0004838428680819726, -0.00312245672297095, 76059000000, 
-0.015515515041238357, 0.0004838428680819726, -0.0031127798656093108, 76059000000, 
-0.015336985360646748, 0.0005950989353053644, -0.003091201029541564, 76093000000, 
-0.015336985360646748, 0.0005950989353053644, -0.0030792990508354567, 76093000000, 
-0.015336985360646748, 0.0, -0.0030673970721293497, 76093000000, 
-0.015015747983660382, 0.00107079125662122, -0.003045981246996925, 76127000000, 
-0.015015747983660382, 0.00107079125662122, -0.003024565421864501, 76127000000, 
-0.01476747173247481, 0.0008275875039519034, -0.0029865978466530386, 76161000000, 
-0.01476747173247481, 0.0008275875039519034, -0.002970046096574, 76161000000, 
-0.01476747173247481, 0.0, -0.002953494346494962, 76161000000, 
-0.014459846712602283, 0.0010254167329084261, -0.0029329860118367935, 76195000000, 
-0.014459846712602283, 0.0010254167329084261, -0.002912477677178625, 76195000000, 
-0.014281060726704192, 0.0005959532863269711, -0.002880050276793917, 76229000000, 
-0.014281060726704192, 0.0005959532863269711, -0.002868131211067378, 76229000000, 
-0.014128408298215786, 0.0005088414282946862, -0.0028460353167749446, 76263000000, 
-0.014128408298215786, 0.0005088414282946862, -0.002835858488209051, 76263000000, 
-0.014128408298215786, 0.0, -0.002825681659643157, 76263000000, 
-0.013895003119758727, 0.0007780172615235297, -0.0028101213144126865, 76297000000, 
-0.013895003119758727, 0.0007780172615235297, -0.002794560969182216, 76297000000, 
-0.01373334075126468, 0.0005388745616468198, -0.002768223132718809, 76331000000, 
-0.01373334075126468, 0.0005388745616468198, -0.002757445641485872, 76331000000, 
