imu_ax, imu_ay, kf_ax, kf_ay, kf_vx, kf_w, kf_x, kf_y, stamp, 
-0.04725952491869342, 0.0018326765229041034, -0.0331743411056315, 4.2270548718219554e-11, -0.0008679261022962717, -4.870293519964935e-08, -1.9673850410345464, -0.5000009614016623, 17725000000, 
-0.054980103091903584, -0.006950509931707692, -0.049574891337194255, -1.1893643001256029e-09, -0.00026306793016821857, 4.521129958201537e-06, -1.9636379981111898, -0.5000009576050968, 17730000000, 
-0.043203969630874986, -0.03298350901563682, -0.04476226592145153, -2.1779579166502283e-09, -0.0002864533025568305, 7.60318661788909e-06, -1.963898568469349, -0.5000009578936296, 17749000000, 
-0.049562857582498794, 0.023684693615885606, -0.0483847637241412, 1.7031172953925791e-09, -0.0005135610337509533, -3.3162899508814573e-06, -1.9638412634664786, -0.5000009577444238, 17789000000, 
-0.04107284554289729, 0.018065989207768716, -0.04285833205598828, 3.680621648760461e-09, -0.0004676798680189264, -7.869959560909538e-06, -1.9638600617794801, -0.5000009577628349, 17819000000, 
-0.07488063487367211, 0.00968289730334441, -0.06704246296556077, 3.727030470119862e-09, -0.0006886852105819116, -5.411805586721791e-06, -1.9638327875743993, -0.500000957661971, 17867000000, 
-0.05981045255030319, 0.012510140974887363, -0.06157503480908421, 5.241027990734767e-09, -0.0006644676631899237, -7.887559141063471e-06, -1.9638325278027748, -0.5000009576461144, 17898000000, 
-0.07018768194827739, -0.021522935078523382, -0.06807917707410233, -4.282024817005024e-09, -0.0004848578362060185, 8.831505850274782e-06, -1.9638342822229868, -0.5000009576664868, 17919000000, 
-0.038456532869142676, 0.0020324393057726906, -0.04569305519739767, -1.2040427279644868e-09, -0.0008784785748867452, 1.370599992287477e-06, -1.963820056859192, -0.5000009575230661, 17969000000, 
-0.04896337393711868, 0.012121077003152993, -0.04816047709486009, 4.105473262211494e-09, -0.0005292439990685967, -7.757241025758656e-06, -1.9638276460176363, -0.5000009576011601, 17997000000, 
-0.09608546310081895, 0.007280465602079256, -0.08436172711987895, 2.39770875434807e-09, -0.000493818245676029, -4.855447880557038e-06, -1.9638275734258748, -0.5000009576011274, 18023000000, 
-0.06543878184336124, -0.0009735038456829079, -0.07006104096503549, 7.317894537880525e-10, -0.0008291986669024852, -8.825260857228462e-07, -1.9638171206269794, -0.5000009574965862, 18059000000, 
-0.030371760889613977, -0.010537045526550515, -0.040070944158390936, -5.61607792062614e-09, -0.0008857562081829372, 6.34043303195933e-06, -1.9638166080824189, -0.5000009574912638, 18104000000, 
-0.09401764330725673, -0.0047267680901686634, -0.08081891573764766, -3.0819242535092167e-09, -0.0006630642284306714, 4.6480025936604365e-06, -1.9638234522829987, -0.5000009575587261, 18140000000, 
-0.07125834997712198, -0.025525889148465136, -0.07359516831234887, -6.242329691100312e-09, -0.00045016467804903453, 1.3866769196894568e-05, -1.9638242358329692, -0.5000009575680501, 18155000000, 
-0.032415611666235605, 0.006323890893251032, -0.04247932646564585, -1.0342006326514343e-09, -0.0008636263038454689, 1.1975094181898455e-06, -1.9638101434916815, -0.5000009574245594, 18202000000, 
-0.030093925130563373, -0.010677115489372235, -0.03311829096639927, -4.3222511353607275e-09, -0.0005991556211747988, 7.213904005249658e-06, -1.963820457439522, -0.5000009575384575, 18242000000, 
-0.05931673807641541, -0.0059164683451202165, -0.05290834171859366, -1.2559047960208332e-09, -0.0002858423384406026, 4.393697598726465e-06, -1.9638230086132116, -0.5000009575667949, 18257000000, 
-0.06009719522972257, 0.03910387871407029, -0.058332585927272695, 5.237470392940567e-09, -0.000705130248763744, -7.4276637573314455e-06, -1.9638074443844433, -0.5000009573974465, 18305000000, 
-0.06844226376746922, 0.0011881801906908503, -0.06596771040941013, 1.1631439718326214e-09, -0.0004652668056304224, -2.4999504752044295e-06, -1.9638095938380173, -0.500000957421661, 18325000000, 
-0.0477097914056614, 0.01600819303095037, -0.052172603977684064, 3.197588940535355e-09, -0.0005085124628144461, -6.28812305373554e-06, -1.963808537585255, -0.5000009574098223, 18351000000, 
-0.05781094141990562, -0.02375590801059016, -0.05642876596472933, -3.961264229167175e-09, -0.0005261200081798445, 7.529202781835829e-06, -1.963808584244516, -0.5000009574105069, 18382000000, 
-0.05397311212622531, -0.013320403010625781, -0.05456617586556868, -5.649484043575915e-09, -0.0007979581175581942, 7.079925523990806e-06, -1.9637989473385473, -0.5000009573069817, 18431000000, 
-0.04192669247995595, 0.015130179693008793, -0.04501445891174729, 4.264884395758252e-09, -0.0005737794104821608, -7.432968694666763e-06, -1.9638036256731894, -0.5000009573592867, 18461000000, 
-0.0436068458762428, 0.00042885271339848457, -0.04394495706021167, 1.355971332465787e-09, -0.0006618787319222466, -2.0486703486116518e-06, -1.9638015353917209, -0.5000009573375095, 18509000000, 
-0.05739517969585947, -0.0011477109020839175, -0.054101472746201876, -1.396357935297289e-11, -0.0005693561166439708, 2.452521180466141e-08, -1.9638034886371831, -0.5000009573572655, 18545000000, 
-0.08179447942437831, 0.011103912688878167, -0.07502034540252676, 1.728473676603017e-09, -0.0003583267023310544, -4.823736733429645e-06, -1.9638043036887107, -0.5000009573653101, 18560000000, 
-0.07628206772572953, -0.006242452592144162, -0.0759656910872313, -4.120667789154527e-10, -0.0009136598382350706, 4.5100677699859045e-07, -1.9637846576739133, -0.5000009571540123, 18605000000, 
-0.06562420349287548, -0.016531911682412987, -0.06814499539473494, -1.1448421666744561e-08, -0.0009976075501890802, 1.147587712680673e-05, -1.9637818178001116, -0.50000095712386, 18648000000, 
-0.0367593052159816, 0.008643296389553603, -0.044432797850566516, 2.16737687118064e-09, -0.0005745672111042302, -3.772190318718803e-06, -1.9637885761082554, -0.500000957195734, 18670000000, 
-0.051724993068816, 0.030542752020180704, -0.04993918303845489, 6.296109272244678e-09, -0.00044228915740945267, -1.4235278362060332e-05, -1.9637921073506905, -0.5000009572340657, 18697000000, 
-0.054148672535133426, -0.013998687588029253, -0.053112915613226105, -7.928985225350498e-10, -0.0006884066448302867, 1.151788014379965e-06, -1.9637837771164242, -0.5000009571452153, 18744000000, 
-0.04761634620889903, 5.2136080514204614e-05, -0.0489559452248067, -1.3320998001260707e-10, -0.0006354570968521564, 2.096285975441696e-07, -1.9637847756980464, -0.5000009571522149, 18781000000, 
-0.05412828925514719, 0.031332449533182635, -0.052860782299814064, 7.072463615972503e-09, -0.00047030293740550513, -1.5038102153877204e-05, -1.9637875172044157, -0.5000009571787558, 18807000000, 
-0.04626272408575298, -0.008735357557728923, -0.03245701858981949, 1.4488778480045542e-09, -0.0022754726629123923, -6.367370927454369e-07, -1.914687103831275, -0.500000460609225, 55448000000, 
-0.04981659867275506, 0.01055625562062102, -0.04550903187578391, 1.2782116534803805e-08, -0.0006960276618275664, -1.836438008978218e-05, -1.9137267040712926, -0.5000004353255935, 55468000000, 
-0.05517653478681387, 0.017613145858794792, -0.052803566623477675, 9.9737953551776e-09, -0.0007224497122509566, -1.3805521942976446e-05, -1.9135941112009764, -0.5000004324317283, 55516000000, 
5.042215187460586, -0.023899640999465534, 3.795964429470409, 9.262922510140617e-08, 0.009626144280004533, 9.622671591762444e-06, -1.9310909842993669, -0.5000004225806194, 55558000000, 
-0.06514289274450921, -0.017919523244917315, 0.878883994831662, -4.486026990017911e-06, 0.03504868787456816, -0.00012799414934083845, -1.9290352806589692, -0.49999989650853066, 55602000000, 
-0.12096230492443705, -0.019281333655556183, 0.12354060606971395, -2.052780018401072e-05, 0.039426965346527926, -0.0005206538216570723, -1.9279254685150522, -0.5000003117505121, 55633000000, 
-0.01937310662888623, -0.05173586212959792, 0.015593446351733292, -0.002730368949744515, 0.05795601382280731, -0.04711105491299401, -1.9273890084875067, -0.5000008206606832, 55644000000, 
0.5065866740542904, -0.07996880847564604, 0.3865253391739798, -0.021477041851728516, 0.07742688805104112, -0.27738479993630233, -1.926067972768883, -0.5000027063646413, 55665000000, 
-0.05857996859534161, -0.05224931457923268, 0.05029756962592313, -0.05255980479305503, 0.09527239672223975, -0.5516792544464857, -1.9238236206399075, -0.5000115099954526, 55693000000, 
-0.06542802279540672, -0.07741184397772995, -0.03710307140295563, -0.06143569132258021, 0.10637432349435082, -0.5775424867998606, -1.92058444395275, -0.5000552055850255, 55726000000, 
-0.04402507582505133, -0.08706282656764362, -0.04233565814042535, -0.08050129082155999, 0.1018962332180127, -0.7900320579007368, -1.9185273937675134, -0.5001230397470903, 55746000000, 
-0.04959735621915367, -0.08879610375131732, -0.04781543011346727, -0.08337507770101203, 0.10414090548801956, -0.800598739854471, -1.9158616607945398, -0.5002432716951132, 55772000000, 
-0.0543542603352061, -0.05009413410848321, -0.05276462445609738, -0.057743695274611644, 0.09812697651100141, -0.5884589266656735, -1.9136391685124357, -0.5003876739533114, 55793000000, 
-0.06437288666981701, -0.04920973287902067, -0.06152995903643563, -0.04884389722828217, 0.099912548337109, -0.4888664941612827, -1.9111438389036073, -0.5005893403083618, 55818000000, 
-0.050810498712820285, -0.06494639375196788, -0.053419029703629016, -0.06324590087693081, 0.10046857226093112, -0.6295093027964233, -1.9065967558846175, -0.5010240591071738, 55864000000, 
-0.07733647675922119, -0.06500614304315416, -0.07148530195005628, -0.06841374943770269, 0.09864391643485708, -0.6935425103775363, -1.903028450227244, -0.5014528680680974, 55900000000, 
-0.06801732915244742, -0.040381167043630345, -0.06887521502188136, -0.055560302536503965, 0.0923565351522043, -0.6015849603381087, -1.9000958838825543, -0.501872802872691, 55930000000, 
