x, y, 
-2.0, -0.5099999999999993, 
-1.3499999999999996, -0.5099999999999993, 
-0.9499999999999993, -0.5099999999999993, 
-0.5, -0.8099999999999996, 
-0.04999999999999982, -0.7599999999999993, 
0.25, -0.8099999999999996, 
0.4500000000000002, -0.9599999999999995, 
0.75, -1.0099999999999993, 
1.0500000000000007, -0.7599999999999993, 
1.25, -0.4599999999999995, 
1.200000000000001, -0.15999999999999925, 
1.4000000000000004, 0.09000000000000075, 
1.700000000000001, 0.4400000000000004, 
2.0, 0.4400000000000004, 
2.5, 0.6400000000000006, 
2.6000000000000014, 0.9900000000000011, 
2.6500000000000004, 1.4400000000000004, 
2.950000000000001, 1.6900000000000004, 
3.0500000000000007, 1.8400000000000007, 
3.200000000000001, 2.1400000000000006, 
3.3500000000000014, 2.3900000000000006, 
3.5, 2.790000000000001, 
3.450000000000001, 2.8900000000000006, 
3.3500000000000014, 3.3400000000000007, 
3.3500000000000014, 3.5900000000000007, 
3.3500000000000014, 4.1400000000000015, 
3.5, 4.54, 
