imu_ax, imu_ay, kf_ax, kf_ay, kf_vx, kf_w, kf_x, kf_y, stamp, 
-0.053618784465176234, -0.011559672755504204, -0.03765191446825163, 6.74673331659049e-11, -0.0010481149575015114, -6.437016539362535e-08, -1.9630814458706323, -0.5000009577299505, 16768000000, 
-0.047758271842197234, 0.02305423233637113, -0.045251021505547606, 7.118900411668376e-09, -0.00038670391847227216, -1.8409175784389736e-05, -1.9613290995051753, -0.5000009554084842, 16783000000, 
-0.046064591844331426, -0.02273303113783601, -0.045863334776739456, -8.152776913727053e-10, -0.00039186733358246976, 2.080494140502598e-06, -1.9612879003190056, -0.500000955543062, 16810000000, 
-0.05346226248083252, -0.007928443502861579, -0.05159835515686633, -1.72249755390679e-09, -0.0006152173040948935, 2.7998197424581954e-06, -1.9612011877656501, -0.5000009556631023, 16855000000, 
-0.06455318805689857, 0.004881113868558057, -0.06138349887105474, 5.866890664622294e-10, -0.0003606119180086943, -1.626926446862703e-06, -1.9611702914962963, -0.5000009555813709, 16871000000, 
-0.10001616607601523, 0.008946988133934602, -0.09056463588945174, 1.6003451407950329e-09, -0.0005558196598032027, -2.8792524923671504e-06, -1.961141800273641, -0.5000009556825157, 16899000000, 
-0.050526072337135464, -0.00955281983111968, -0.06031626628673499, -1.7482881000722232e-09, -0.0005364976136346151, 3.258706200439701e-06, -1.9611473209250638, -0.5000009557012743, 16919000000, 
-0.038871766701371, 0.002695558781159115, -0.0441128082898264, 2.0367305466266364e-10, -0.0005835587356682807, -3.4901894567548715e-07, -1.961148089416092, -0.5000009557021572, 16952000000, 
-0.02035941974084276, -0.007858451291706918, -0.026166828724997093, -1.2986280105973534e-09, -0.000391084396653486, 3.320582518018436e-06, -1.9611528582238427, -0.5000009555846172, 16978000000, 
-0.05675285595822299, 0.0015722478364960338, -0.04927005049509356, -1.0664109681697802e-10, -0.0003516043303917704, 3.032985876429753e-07, -1.9611545270015684, -0.5000009555395759, 17011000000, 
-0.04987565866614591, -0.01117434590775098, -0.04972518456727054, -1.2601933599424754e-09, -0.00042325134929539613, 2.977411323177991e-06, -1.9611521190827845, -0.5000009556021434, 17039000000, 
-0.08018737889671212, -0.0005260788184069784, -0.07273235659403503, -5.321331206148845e-10, -0.0006327021118006783, 8.410484344685162e-07, -1.9611455563180697, -0.5000009557715084, 17078000000, 
-0.03181437349382798, -0.03049563944487733, -0.04181693545987851, -1.0394047081673061e-08, -0.0007052522130026008, 1.4738056669713322e-05, -1.9611426262360632, -0.5000009558484779, 17113000000, 
-0.08165326485801477, 0.01571973870962265, -0.07190520856264848, 3.147756168399762e-09, -0.0006537457819088075, -4.8149544601403636e-06, -1.961145313576235, -0.500000955779357, 17153000000, 
-0.062133446409114695, -0.0034286465863052414, -0.0645209310311087, -2.491479122092157e-10, -0.0005328552048232782, 4.6757150902156574e-07, -1.9611457428885097, -0.5000009557708295, 17175000000, 
-0.05346929533078176, -0.004734214111259032, -0.0561703586379223, -8.836850168198113e-10, -0.00044934541487261486, 1.9666051718149335e-06, -1.961146936548263, -0.5000009557409758, 17196000000, 
-0.05018940497825733, -0.012968151644842555, -0.05164555057614275, -3.5714465615290654e-09, -0.0007402823809036663, 4.824438151789298e-06, -1.9611376038027755, -0.5000009559765904, 17243000000, 
-0.06985777164397024, 0.00043720483443717697, -0.06539828011177838, -6.160152558690421e-10, -0.0006914120684318225, 8.909524204085903e-07, -1.9611387995398273, -0.5000009559471965, 17281000000, 
-0.06492113164816948, -0.018830798776292457, -0.06503254375029008, -7.421710894110244e-09, -0.0007430142077697634, 9.988652728979845e-06, -1.9611364051844817, -0.5000009560090458, 17317000000, 
-0.02587984145548481, 0.016275429044975708, -0.035453664308318596, 3.097981853622574e-09, -0.00045911425175752373, -6.747736193688756e-06, -1.9611404632426657, -0.5000009559078427, 17337000000, 
-0.055361155860762436, -0.013678866937951279, -0.05049036576227177, -1.1257995423672145e-09, -0.00036906367404047425, 3.0504208936145554e-06, -1.9611430402795818, -0.5000009558448221, 17364000000, 
-0.05891327853889967, 0.00027181473325929345, -0.0568512355950356, -2.537649380810265e-10, -0.00040559424491009156, 6.256620779648359e-07, -1.9611418768574875, -0.5000009558734688, 17389000000, 
-0.031845654012723934, -0.010962559664697388, -0.03795687775885449, -2.052036950423832e-09, -0.0005924264123578138, 3.463783699745721e-06, -1.9611363336849934, -0.5000009560110869, 17428000000, 
-0.03441381371049011, -0.005307307609821787, -0.035272374801134924, -2.1877449204050295e-09, -0.0006903927481128969, 3.168841107304443e-06, -1.9611344444989323, -0.500000956058146, 17488000000, 
-0.07162089072418346, -0.017982813838194812, -0.06272729905271163, -5.270390204222528e-09, -0.000522071246288605, 1.009515509940384e-05, -1.9611371133370255, -0.5000009559953343, 17522000000, 
-0.03498989777697442, 0.012128211854869939, -0.04177206143100046, 9.515511066514478e-10, -0.00040341398597713114, -2.3587459526140216e-06, -1.9611378119161245, -0.5000009559784014, 17542000000, 
-0.056305114166013144, -0.014914069482501766, -0.05274716369547922, -1.9548065816308514e-09, -0.0005008062782805697, 3.903318840854663e-06, -1.961135689917567, -0.5000009560307528, 17579000000, 
-0.072545746816265, 0.008518676476811647, -0.06769752804667943, 1.6646170677853695e-09, -0.0007163800734307198, -2.3236507121332605e-06, -1.9611280188973605, -0.5000009562164197, 17622000000, 
-0.0682113683682808, 0.02325218115227556, -0.06807907551139684, 1.1025582851261989e-08, -0.0008355694241265802, -1.3195292375360693e-05, -1.961122947813619, -0.5000009563384819, 17662000000, 
-0.0535365751070873, -0.020006411772376644, -0.05708895424440506, -6.4994202835280406e-09, -0.0006946504420739961, 9.356389760759274e-06, -1.961125653835254, -0.5000009562735319, 17693000000, 
-0.0752677499128929, 0.014724032393717093, -0.07081805540760146, 3.356804853672908e-09, -0.0006118375107474797, -5.486431927934447e-06, -1.9611274848631997, -0.5000009562261382, 17723000000, 
-0.083617432351583, 0.01916874497503044, -0.08048386523723557, 6.306278448106941e-09, -0.0006146530049193567, -1.0259900134929516e-05, -1.961126613038107, -0.5000009562474867, 17749000000, 
-0.06500978933489023, 0.014584535234184647, -0.06878422582305192, 1.0042146445845817e-08, -0.0010761397214148274, -9.3316381191126e-06, -1.9611094824778856, -0.5000009566679837, 17798000000, 
-0.05250595275841888, -0.005994308422466759, -0.05648453722111495, -1.5156152819852594e-09, -0.0005965266688549742, 2.540733484547245e-06, -1.9611163540641283, -0.5000009564935737, 17819000000, 
-0.07178261321641564, 0.020582705946936862, -0.06803504396645092, 6.583430558012403e-09, -0.0007549876920144708, -8.719917725342493e-06, -1.96111252709213, -0.5000009565875685, 17861000000, 
-0.03900263329002925, 7.973180298255695e-06, -0.046100137579971875, 1.2687332428393837e-09, -0.000578599920286173, -2.1927642890304474e-06, -1.9611155038024377, -0.5000009565126164, 17887000000, 
-0.04120352080910401, -0.012970711583502777, -0.028866824383175005, -6.434245237724363e-09, -0.0012656651574469713, 5.083686787035491e-06, -1.9346198150067078, -0.5000016298356548, 75600000000, 
-0.07874649374180223, 0.000752237227549733, -0.06637804264244934, -2.198247521546468e-10, -0.0004502375903400399, 4.882416681126628e-07, -1.9318284962427923, -0.5000016999295535, 75617000000, 
-0.08248648319547909, 0.016192307788728235, -0.078542463142781, 1.983216761662112e-09, -0.000363596442737302, -5.454444897017279e-06, -1.9316070730000225, -0.5000017053129271, 75632000000, 
-0.044479519183515746, -0.009582724316874246, -0.052810269219028344, -3.256129217223867e-10, -0.00026093147158785075, 1.2478867334052455e-06, -1.931721891011416, -0.500001702412781, 75642000000, 
-0.06129374304844275, -0.01976226056854968, -0.059218454724697965, -8.669928322567835e-10, -0.00020912963749347019, 4.14571957685268e-06, -1.9317154179895866, -0.5000017025588478, 75653000000, 
-0.08000390720810115, 0.028805347988247385, -0.07491724147061017, 1.904763919770782e-09, -0.0005286610314289301, -3.6029966396848874e-06, -1.9317039115775023, -0.5000017031617631, 75684000000, 
5.786577335572913, -0.008149569443882801, 4.352998073619349, 7.39134019114556e-07, 0.03529655002092818, 2.0940687366790964e-05, -1.9320468711515641, -0.5000016920996688, 75723000000, 
2.8907789154674823, -0.02303942887279612, 3.2481494343278046, -6.17841041031651e-05, 0.09947244039509871, -0.0006211178076838394, -1.931864464615863, -0.5000017069591756, 75763000000, 
-0.04908283833006656, -0.006073454908938616, 0.7572540356255746, -0.0013693843734737, 0.11537085083363952, -0.011869413838754657, -1.9297952862326295, -0.5000019696718386, 75788000000, 
-0.03951806770726898, -0.008940763539646604, 0.1552733342586199, -0.0018873575115901566, 0.10962661265529078, -0.01721623487104132, -1.9254409372784038, -0.500002904974981, 75829000000, 
-0.01700231443057277, -0.007941687025528311, 0.025121957694323044, -0.0011496117833238529, 0.10264879619852912, -0.011199466782839153, -1.9237465115538732, -0.5000041376316463, 75845000000, 
-0.05994648274507909, 0.03007983877241875, -0.03914453258083986, -0.0007264796660614623, 0.10017998585237295, -0.007251744546380911, -1.9216087191977, -0.5000062196936972, 75866000000, 
-0.03786891131459889, -0.01007696538183104, -0.038180782277521974, -0.0013047715783224166, 0.09971009294288491, -0.013085652011876118, -1.9201054528277597, -0.500008033933511, 75881000000, 
-0.049235036401268445, 0.016667281000360492, -0.046531212050580924, -0.001012976436922827, 0.09936851195596615, -0.01019413913908376, -1.9186084715283562, -0.5000100190158862, 75896000000, 
-0.04283776955524049, 0.018731994564237027, -0.0437379742714722, -0.0007544695104898632, 0.09904429769070351, -0.007617495687090719, -1.914917730193358, -0.5000155919963175, 75933000000, 
-0.04150602865042884, 0.04800927548469828, -0.04204932175110187, -0.0006842603833069992, 0.09891879033991322, -0.006917395380146534, -1.9117352898296658, -0.5000215183059656, 75965000000, 
-0.0641469237254034, 0.02395125550800044, -0.058739373136848065, -0.0008536520300842286, 0.09902941265932527, -0.008620186742103665, -1.9086531668710067, -0.500028009642235, 75996000000, 
-0.04214279787344009, -0.002096913300206731, -0.046198673930515466, -0.0009504123810496041, 0.0991515740980008, -0.009585449244711157, -1.9057647915652969, -0.5000347550041366, 76025000000, 
-0.03981870204278562, -0.010840230980018723, -0.04137342462114198, -0.001060665445324287, 0.09914425528248964, -0.010698203766846149, -1.9012760659575834, -0.5000464012198758, 76070000000, 
-0.047435694689952713, 0.0011568322014188493, -0.045950187844320534, -0.0010728990198968311, 0.09922536439044795, -0.010812749607802047, -1.8981873894036103, -0.5000557832694233, 76101000000, 
-0.039480525086236236, 0.016120977559856055, -0.041058717837704775, -0.000876210964580184, 0.09899306059095919, -0.008851236231605171, -1.8940988594607917, -0.5000695355130971, 76142000000, 
-0.03230304163351981, 0.01563477123250061, -0.03444195065205019, -0.000809948513293672, 0.09909779751155641, -0.00817322416473705, -1.8911157209665752, -0.500080829268893, 76172000000, 
-0.029267836760724916, 0.0100050676313179, -0.030531639368116613, -0.0008448679047971816, 0.09914768171469346, -0.008521307711746267, -1.8884314038422405, -0.5000916974526468, 76199000000, 
-0.05132181018436092, 0.030018450676940336, -0.046232650641926255, -0.0006921535446719435, 0.09932245673414944, -0.0069687517549489346, -1.884147004803751, -0.5001099794418585, 76242000000, 
-0.0782556202102254, -0.006674451447427767, -0.07041995993030672, -0.0009433398665786829, 0.09951556135899582, -0.009479320155524688, -1.8810484291102973, -0.5001243184422185, 76273000000, 
-0.05314558045575457, 0.0007261154867505174, -0.05736326022026858, -0.0009132323135844239, 0.09917239131832561, -0.009208533760702731, -1.876634856293478, -0.5001457671230711, 76317000000, 
-0.07907659426873541, -0.003900002701965951, -0.0737629550420707, -0.0009337555861277489, 0.09880568787398694, -0.00945042341407132, -1.8735436761709128, -0.5001620724218031, 76348000000, 
-0.23192638055841297, -0.034065167634658784, -0.19324015347432155, -0.0011407577062874988, 0.09945004284301423, -0.011470660782803576, -1.871545791457583, -0.5001731984706744, 76368000000, 
-0.06624237541943563, 0.002596992562750501, -0.09728515823666717, -0.000877471105729636, 0.09725630721326432, -0.009022253989198984, -1.8666912314055024, -0.5002011639829167, 76416000000, 
-0.08840718184335769, -0.003776648500251397, -0.0905736251382114, -0.0008974659193292172, 0.0989038040413306, -0.009074129433425816, -1.864717045441974, -0.5002135642476623, 76436000000, 
0.0836394294936747, 0.02208882640082319, 0.041038052713862044, -0.0006584098202469341, 0.0983390062166283, -0.006695306832738793, -1.8599390615714975, -0.5002444264171064, 76484000000, 
-0.2335824377692917, 0.03533164953862097, -0.16641613402978234, -0.0005073258724277813, 0.09889438613759392, -0.005129976455103606, -1.857961740413283, -0.5002579877891572, 76504000000, 
