e, e_dot, e_int, stamp, 
-0.7737082921401972, 0.0, -0.1547416584280394, 18871000000, 
-0.7737082921401972, 0.0, -0.1547416584280394, 18871000000, 
-0.7737082921401972, 0.0, -0.1547416584280394, 18871000000, 
-0.9484744950107796, -0.582554009568608, -0.1663927386194116, 55353000000, 
-0.9524120923212862, -0.5956793339369634, -0.17830632529815085, 55387000000, 
-0.9529644911121303, -0.014966653671169006, -0.19025673856294642, 55421000000, 
-0.9529644911121303, -0.0018413293028137396, -0.19055607163636978, 55421000000, 
-0.8839385946266022, 0.23008632161842715, -0.1859911717900575, 55489000000, 
-0.8916704511295555, 0.20431346660858293, -0.18190490245788588, 55523000000, 
-0.8958749086388715, -0.03978771337423118, -0.17809893029300194, 55557000000, 
-0.8975763361706355, -0.01968628347026676, -0.17900811306260417, 55591000000, 
-0.9000626484865687, -0.013959132825657194, -0.17956759288640503, 55625000000, 
-0.8986453191546461, -0.0035632766133686378, -0.17975228692079, 55659000000, 
-0.8928345201995443, 0.02409376095674783, -0.1794361658560506, 55693000000, 
-0.8877725248501632, 0.03624264768160949, -0.17861682428029024, 55727000000, 
-0.8776353922296838, 0.0506637598995352, -0.17721616248529276, 55761000000, 
-0.8710750888402599, 0.05565812003301122, -0.17576553372800713, 55795000000, 
-0.8670014485849575, 0.03544647881575417, -0.17438079531032674, 55829000000, 
-0.8608617760379845, 0.03404437600758444, -0.17326255423088013, 55863000000, 
-0.8518461816497904, 0.050517556450557034, -0.17198062708484885, 55897000000, 
-0.843894429141665, 0.05655782298773171, -0.17044015912196264, 55931000000, 
-0.8351032136613282, 0.05580989329487399, -0.1687229216301856, 55965000000, 
-0.8322487707831038, 0.038818861195204134, -0.1674164275724065, 55999000000, 
-0.826412927773173, 0.02896761962718412, -0.16625099414784034, 56033000000, 
-0.8201823771582937, 0.040221312082700335, -0.16525627171430468, 56067000000, 
-0.8191135650940834, 0.024331208930298647, -0.16438059133503666, 56101000000, 
-0.8172836454277704, 0.009662439101744136, -0.16377197251200984, 56135000000, 
-0.8140933809268167, 0.01673394722422228, -0.16336603942991137, 56169000000, 
-0.8129889414430664, 0.014315679949013319, -0.16295773118651022, 56203000000, 
-0.8144505124501065, -0.0011904384109658512, -0.16276885565466598, 56237000000, 
-0.816721380332313, -0.012441462964155233, -0.16294405561503242, 56271000000, 
-0.8192007101300018, -0.015833992266317914, -0.16335817352749474, 56305000000, 
-0.8163544255495299, 0.0012231826092771552, -0.1634851010674563, 56339000000, 
-0.8087389892226153, 0.03487240302462169, -0.16295294166014312, 56373000000, 
-0.8068329891605459, 0.031738121296613166, -0.16212842692884608, 56407000000, 
-0.1856466688248269, 2.0769744013259617, -0.1200812431471992, 56441000000, 
-0.17392539281051073, 2.109691987833451, -0.07776033671972556, 56475000000, 
-0.1606707957984665, 0.08325291008786799, -0.034682857162253604, 56509000000, 
-0.15124053934298132, 0.07561617822509803, -0.032389115196797234, 56543000000, 
-0.15337616257010533, 0.024315444094537193, -0.031019166514103542, 56577000000, 
-0.1602011805802645, -0.02986880412427728, -0.030987858832890076, 56611000000, 
-0.1602011805802645, -0.02275006003386389, -0.03158523491537562, 56611000000, 
-0.1600891958527283, 0.0003732824251206912, -0.032032770467550487, 56645000000, 
-0.1600891958527283, 0.0003732824251206912, -0.03202530481904807, 56645000000, 
-0.15305776861679965, 0.023438090786428816, -0.03154907735481708, 56679000000, 
-0.15305776861679965, 0.023438090786428816, -0.031080315539088507, 56679000000, 
-0.15139264367533606, 0.005550416471545305, -0.030500545393929022, 56713000000, 
-0.15139264367533606, 0.005550416471545305, -0.030389537064498116, 56713000000, 
-0.15146288520662948, -0.00023413843764474862, -0.030283211503820105, 56747000000, 
-0.14854049012445408, 0.009507178502939917, -0.03009306793376131, 56781000000, 
-0.1463133799749976, 0.01716501743877293, -0.029754450353738745, 56815000000, 
-0.1463133799749976, 0.007423700498188264, -0.029411150004963287, 56815000000, 
-0.14449315854534606, 0.006067404765505158, -0.02914132789968942, 56849000000, 
-0.14449315854534606, 0.006067404765505158, -0.029019979804379314, 56849000000, 
-0.14186125621008083, 0.008773007784217413, -0.02872317155338486, 56883000000, 
-0.13923998055448572, 0.017510593302867788, -0.028372959687327507, 56917000000, 
-0.13923998055448572, 0.008737585518650373, -0.02802274782127015, 56917000000, 
-0.13777992884159518, 0.004866839042968474, -0.027750659330037775, 56951000000, 
-0.13602321960825992, 0.010722536487419351, -0.027536208600289387, 56985000000, 
-0.13390540541663298, 0.012915078083207318, -0.027180570257765872, 57019000000, 
-0.13390540541663298, 0.007059380638756441, -0.026922268696101724, 57019000000, 
-0.13390540541663298, 0.0, -0.026781081083326597, 57019000000, 
-0.1305854267945863, 0.01106659540682231, -0.02655974917519015, 57053000000, 
-0.1305854267945863, 0.01106659540682231, -0.026338417267053705, 57053000000, 
-0.1281981374302582, 0.007957631214426941, -0.02595793273462872, 57087000000, 
-0.1270166338906802, 0.01189597634635368, -0.025720013207701644, 57121000000, 
-0.1270166338906802, 0.003938345131926739, -0.025482093680774573, 57121000000, 
-0.1270166338906802, 0.0, -0.025403326778136035, 57121000000, 
-0.12438748198062599, 0.00876383970018065, -0.025228049984132424, 57155000000, 
-0.12438748198062599, 0.00876383970018065, -0.025052773190128812, 57155000000, 
-0.12299137742660915, 0.004653681846722805, -0.024784422759190742, 57189000000, 
-0.12299137742660915, 0.004653681846722805, -0.024691349122256286, 57189000000, 
-0.12055464225799639, 0.008122450562042527, -0.02443582647408098, 57223000000, 
-0.1193975887018891, 0.011979295749066829, -0.024196240559099642, 57257000000, 
-0.1193975887018891, 0.0038568451870243012, -0.023956654644118305, 57257000000, 
-0.11720905440944762, 0.007295114308138266, -0.023733615454215054, 57291000000, 
-0.11610257828303061, 0.010983368062861635, -0.023513948092957822, 57325000000, 
-0.11610257828303061, 0.0036882537547233696, -0.02329428073170059, 57325000000, 
-0.1141369846963528, 0.006551978622259351, -0.023089476084160936, 57359000000, 
-0.11252212495250191, 0.011934844435095663, -0.022850779195459022, 57393000000, 
-0.11019524296481087, 0.013139139105139789, -0.02245695684091104, 57427000000, 
-0.1093889771838622, 0.0104438258954657, -0.022140423006745, 57461000000, 
-0.1093889771838622, 0.0026875526031622243, -0.021931546488835683, 57461000000, 
-0.10660855111029766, 0.00926808691188182, -0.021692433698534803, 57495000000, 
-0.10516024977484939, 0.014095758030042704, -0.02141051853793395, 57529000000, 
-0.10438329310462369, 0.0074175266855798965, -0.021076806265984717, 57563000000, 
-0.10268963935940034, 0.008235368051496827, -0.02081554548259156, 57597000000, 
-0.10268963935940034, 0.005645512484077815, -0.020650838121561623, 57597000000, 
-0.1005831577274422, 0.007021605439860486, -0.02039749576308286, 57631000000, 
-0.09913847966016054, 0.011837198997466011, -0.020160751783133538, 57665000000, 
-0.09821570010046943, 0.007891525423242562, -0.019862489165871477, 57699000000, 
-0.09686800031980902, 0.007568264467838389, -0.019614812005362598, 57733000000, 
-0.09686800031980902, 0.00449233260220135, -0.01946344671600583, 57733000000, 
-0.09560497392321321, 0.004210087988652707, -0.01928939830418875, 57767000000, 
-0.09396421634134589, 0.009679279928210457, -0.01909581270562454, 57801000000, 
-0.09396421634134589, 0.005469191939557749, -0.018902227107060333, 57801000000, 
-0.09249414732820704, 0.004900230043796139, -0.018694838667393254, 57835000000, 
-0.09249414732820704, 0.004900230043796139, -0.018596834066517333, 57835000000, 
-0.09109597538546066, 0.004660573142487949, -0.01840561800279165, 57869000000, 
-0.09033015465417693, 0.00721330891343371, -0.018261351824522976, 57903000000, 
-0.09033015465417693, 0.002552735770945761, -0.0181170856462543, 57903000000, 
-0.08883555717772373, 0.004981991588177322, -0.01796639109907184, 57937000000, 
-0.08768581217757865, 0.008814474921994275, -0.017790101600631953, 57971000000, 
-0.08680047805687108, 0.006783597069508855, -0.01755478982747823, 58005000000, 
-0.08680047805687108, 0.0029511137356919015, -0.017419117886088055, 58005000000, 
-0.08495091232259222, 0.006165219114262858, -0.017236791229088957, 58039000000, 
-0.0835605997910438, 0.010799594219424261, -0.017020799344700473, 58073000000, 
-0.08232222145531909, 0.008762302890910437, -0.016722248904597007, 58107000000, 
-0.08108171128628927, 0.008262961682515094, -0.016464302168843477, 58141000000, 
-0.08013186474962497, 0.007301189018980396, -0.01623571983274889, 58175000000, 
