imu_ax, imu_ay, kf_ax, kf_ay, kf_vx, kf_w, kf_x, kf_y, stamp, 
-0.08168090775494048, 0.04252676205677819, -0.05731662624259717, 7.439301327050878e-11, -0.001407026746554823, -5.28724940394089e-08, -1.943558130276476, -0.5000009354844296, 18860000000, 
-0.059787202789751664, -0.013419172058675637, -0.059172890275419575, -5.5875897713628724e-09, -0.0003914370338000306, 1.4274555774958552e-05, -1.943101921415312, -0.5000009352271108, 18865000000, 
-0.04034323708934979, 0.004708240780743762, -0.044951224136997675, -6.050953376038556e-10, -0.0002940890187968976, 2.057524419236285e-06, -1.9438866846405343, -0.5000009360406439, 18880000000, 
-0.05449069878614829, -0.02854427981874782, -0.05215329623437316, -3.660238644437647e-09, -0.0005401485639796061, 6.776355411315771e-06, -1.9437806154248414, -0.5000009357806015, 18921000000, 
-0.0462783224543577, -0.019906488403366573, -0.047712633221062895, -4.537330064131324e-09, -0.00046678507394389197, 9.720383785615038e-06, -1.943796155639782, -0.500000935831299, 18948000000, 
-0.05957600551750284, 0.013378609243880025, -0.05667246019497082, 1.0042948457063715e-09, -0.000419044762008175, -2.3966290400422165e-06, -1.943789578299072, -0.5000009358399296, 18973000000, 
-0.06177858981100481, -0.0029875559846100127, -0.060522893367957215, -2.2917439912497464e-10, -0.0007629571562273001, 3.0037649854181203e-07, -1.9437765020386093, -0.5000009355055993, 19020000000, 
-0.06708752002754576, -0.029807404610514107, -0.06548048226580395, -7.35166799306537e-09, -0.00042762729972195416, 1.7191764879944448e-05, -1.943778802286002, -0.5000009355756557, 19036000000, 
-0.06591961674788058, 0.0068705903175514315, -0.0658077702975218, -1.278414282896166e-09, -0.0006646495577457222, 1.9234411096761077e-06, -1.943772520902065, -0.5000009354040709, 19071000000, 
-0.04597688481551492, -0.0021239985869610017, -0.05082223651821902, -1.0287192906096812e-09, -0.0006902664054096539, 1.4903221170080917e-06, -1.943772071300526, -0.5000009353927819, 19106000000, 
-0.07310061067497643, 0.012969615908788123, -0.06764790239422683, 3.930352622548157e-09, -0.0006107051513537104, -6.435761371647185e-06, -1.9437743343307061, -0.5000009354562767, 19139000000, 
-0.05863717785093349, -0.03737773549675461, -0.06083676634178795, -1.0330460679371193e-08, -0.0006611153591034365, 1.5625806505812723e-05, -1.943772359764625, -0.5000009354030581, 19171000000, 
-0.04761859610215843, -0.010124813765746024, -0.05084208319811191, -8.077923301147448e-09, -0.0009161477257620793, 8.817271575310617e-06, -1.9437633215132566, -0.5000009351515533, 19224000000, 
-0.05135727208373236, 0.014046578029468832, -0.051229086649293994, 3.6817828327684842e-09, -0.0004831666432716442, -7.6201097158491665e-06, -1.9437691320684534, -0.5000009353196053, 19245000000, 
-0.0668157735674555, -0.01919394662939078, -0.0630003273766518, -2.7505350343111614e-09, -0.0005398181096091987, 5.0952996673313e-06, -1.9437677525223076, -0.5000009352823818, 19277000000, 
-0.04813431885678794, -0.039008895606213526, -0.05176797954783319, -8.004632163217402e-09, -0.00046833763158669233, 1.7091584411225545e-05, -1.9437685010831258, -0.5000009353040178, 19300000000, 
-0.05495170998138189, -0.0025858618989533034, -0.05416711306250327, -3.4693752791414745e-09, -0.0006879086165964571, 5.043366510375737e-06, -1.9437618592666916, -0.5000009351141301, 19345000000, 
