e, e_dot, e_int, stamp, 
7.377834950732463, 0.0, 1.4755669901464927, 21217000000, 
7.377834950732463, 0.0, 1.4755669901464927, 21217000000, 
7.377834950732463, 0.0, 1.4755669901464927, 21217000000, 
7.36719947509086, -0.03545158547201055, 1.4748579584370525, 125903000000, 
7.367404456197501, -0.034768315116542325, 1.4741625921347217, 125937000000, 
7.367410220658557, 0.0007024852256550437, 1.4734676101297945, 125971000000, 
7.367413620631508, 3.054811335741666e-05, 1.473481886499171, 126039000000, 
7.36742492570272, 4.901681387596094e-05, 1.4734832511328524, 126073000000, 
7.367056857676149, -0.0011892098511978588, 1.4734596936006918, 126107000000, 
7.3658876126822195, -0.005124376735000287, 1.4733579597374058, 126175000000, 
7.362476238275719, -0.015268731334764732, 1.4730280472422725, 126209000000, 
7.3595469709968535, -0.02113547228455322, 1.4725273881303196, 126243000000, 
7.357379566069533, -0.016988907353952715, 1.471960185022807, 126277000000, 
7.354061214628041, -0.01828585456270737, 1.4713991834462952, 126311000000, 
7.351112384436779, -0.020890605442514715, 1.4708368776756235, 126345000000, 
7.347522784138259, -0.021794768299274736, 1.4701797588802055, 126379000000, 
7.344921093486622, -0.020637636500522305, 1.4695704174707773, 126413000000, 
7.3424723512184435, -0.016834776399384428, 1.4689944152562218, 126447000000, 
7.341011613063619, -0.013031601410009586, 1.468560337184579, 126481000000, 
7.339199269571584, -0.01091027215619711, 1.46817888225691, 126515000000, 
7.337450816145858, -0.011869323059204481, 1.4678441132520708, 126549000000, 
7.335771583140891, -0.011425621435643407, 1.467494777923889, 126583000000, 
7.3347241848423845, -0.009088771011578345, 1.4671964389419425, 126617000000, 
7.333265833296478, -0.008352499481378098, 1.466917440085317, 126651000000, 
7.331122721166058, -0.012004878921088036, 1.4666075159536613, 126685000000, 
7.32896003537253, -0.01435265974649269, 1.4662232393223378, 126719000000, 
7.326407687227794, -0.0157167797942126, 1.4657660295844257, 126753000000, 
7.32304667319041, -0.019711207273734505, 1.465227626386049, 126787000000, 
7.320889894770456, -0.01839264152446063, 1.4646896170125774, 126821000000, 
7.318806706758606, -0.014133221439346736, 1.4641828849812981, 126855000000, 
7.317226371054982, -0.012211745718246902, 1.4637948648389363, 126889000000, 
7.315097327594269, -0.012364597214456671, 1.463408693693857, 126923000000, 
7.311060224253225, -0.020553822672522887, 1.4628922615268318, 126957000000, 
7.307988499415499, -0.02369609392923226, 1.4622764034175328, 126991000000, 
7.305468128274873, -0.018640319927841393, 1.4616344567962398, 127025000000, 
7.303076295118179, -0.016374014324401404, 1.4611021948539034, 127059000000, 
7.301027206376311, -0.014803072995205705, 1.460638108651291, 127093000000, 
7.297955362768477, -0.017069774499007078, 1.460137257617531, 127127000000, 
7.295849483241744, -0.017259077115223675, 1.4596554701591022, 127161000000, 
7.292366084990394, -0.018630925926942748, 1.4590780620667076, 127195000000, 
7.290318111895309, -0.018437904488116292, 1.4585689120084964, 127229000000, 
7.287860880098787, -0.015017349638689245, 1.4580363384656327, 127263000000, 
